
nbSections=4;
nbReclaimer=3;

nbVessel=25;
nbTask=25;

Q=[1 1 2];
P=[	19	17	7	11	8	7	19	14	6	15	20	18	10	18	13	14	10	6	9	8	16	10	8	6	7											];
len=[	10	9	4	6	4	4	10	7	3	8	10	9	5	9	7	7	5	3	5	4	8	5	4	3	4											];
ArrivalTime=[	1	69	199	20	11	4	1	195	171	104	180	208	138	16	206	12	66	179	188	129	126	48	57	12	69											];
L=[	6	9	9	3	6	3	10	6	3	10	9	6	5	6	9	8	8	10	4	9	5	8	3	10	6											];
weight=[	5	5	2	1	4	4	7	5	1	10	1	3	10	5	9	6	3	9	3	10	4	10	6	2	3											];
Ls=[	10	10	7	8																																];
																																				
dist=[[	1	1	3	1	],																															
[	3	1	2	3	],																															
																																				
[	3	1	3	3	]];																															
														
																	

B=[	1	13	26	38	51	63	76	89	101	114	126	139	151	164	175	188	201	213	226	238	251	264	276	289	301	314	327	];
E=[	7	20	32	44	57	69	83	94	108	120	133	145	158	168	181	194	206	218	231	243	257	268	282	294	307	320	336	];


AssVessel=[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 ];
