
nbSections=4;
nbReclaimer=3;

nbVessel=25;
nbTask=35;

Q=[1 1 2];
	P=[	9	8	19	11	15	18	6	20	18	8	7	9	7	19	11	15	14	7	19	17	8	11	7	12	7	14	15	16	15	7	10	13	13	16	15	];
	len=[	5	4	10	6	8	9	3	10	9	4	4	5	4	10	6	8	7	4	10	9	4	6	4	6	4	7	8	8	8	4	5	7	7	8	8	];
	ArrivalTime=[	1	74	93	199	53	70	11	107	110	180	100	190	146	20	139	88	179	129	158	140	41	88	160	193	173											];
	L=[	6	9	7	9	4	5	3	10	9	5	6	6	4	5	5	9	5	4	10	8	3	5	3	4	6											];
	weight=[	8	4	3	10	1	4	5	1	8	4	5	6	7	7	7	4	6	8	1	7	4	7	4	3	10											];
	Ls=[	10	7	9	8																																];
																																					
	dist=[[	1	3	2	2	],																															
	[	2	3	2	3	],																															
																																					
	[	3	2	1	1	]];																															
																																					
																											
																																				


B=[	1	13	26	38	51	63	76	89	101	114	126	139	151	164	175	188	201	213	226	238	251	264	276	289	301	314	327	];
E=[	7	20	32	44	57	69	83	94	108	120	133	145	158	168	181	194	206	218	231	243	257	268	282	294	307	320	336	];


AssVessel=[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 1 2 3 4 5 6 7 8 9 10 ];
