
nbSections=4;
nbReclaimer=3;

nbVessel=25;
nbTask=35;

Q=[1 1 2];

P=[	6	15	16	6	16	10	12	12	10	18	16	15	12	18	17	16	13	20	14	11	9	20	19	11	6	10	12	12	11	9	13	16	20	9	8	];
len=[	3	8	8	3	8	5	6	6	5	9	8	8	6	9	9	8	7	10	7	6	5	10	10	6	3	5	6	6	6	5	7	8	10	5	4	];
ArrivalTime=[	1	197	96	46	125	189	2	162	144	204	13	152	85	111	194	75	172	125	152	117	106	184	195	18	203											];
L=[	3	8	9	3	9	5	3	8	8	9	10	9	8	4	7	7	6	3	4	4	3	7	8	8	10											];
weight=[	6	5	9	8	3	2	5	5	5	7	2	5	5	1	2	1	5	2	2	3	5	6	1	6	6											];
Ls=[	10	10	9	7																																];
																																				
dist=[[	2	2	1	2	],																															
[	2	3	3	1	],																															
																																				
[	2	1	2	3	]];																															



B=[	1	13	26	38	51	63	76	89	101	114	126	139	151	164	175	188	201	213	226	238	251	264	276	289	301	314	327	];
E=[	7	20	32	44	57	69	83	94	108	120	133	145	158	168	181	194	206	218	231	243	257	268	282	294	307	320	336	];


AssVessel=[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 1 2 3 4 5 6 7 8 9 10 ];


D=[1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3];

vertical=[1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20];



