
nbSections=4;
nbReclaimer=4;

nbVessel=20;
nbTask=28;

Q=[1 1 2 2];


P=[	9	15	16	8	9	16	7	16	8	12	19	20	19	12	13	14	6	18	12	17	16	13	13	11	15	17	17	11	];
len=[	5	8	8	4	5	8	4	8	4	6	10	10	10	6	7	7	3	9	6	9	8	7	7	6	8	9	9	6	];
ArrivalTime=[	1	60	15	113	116	26	74	126	136	115	40	50	47	110	105	24	109	31	128	120									];
L=[	3	7	9	7	4	3	7	3	7	6	10	3	8	7	7	5	5	9	9	4									];
weight=[	6	6	1	10	2	10	7	3	4	6	5	6	6	7	3	6	9	3	6	2									];
Ls=[	10	8	9	7																									];
																													
dist=[[	3	2	1	3	],																								
[	2	1	1	1	],																								
[	3	2	1	2	],																								
[	3	1	1	1	]];																								

B=[1 13 26 38 51 63 76 89 101 114 126 139 151 164 176 189 202 215 229 244];
E=[7 20 32 44 57 69 83 94 108 120 133 145 158 168 181 195 208 219 233 252];

AssVessel=[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 1 2 3 4 5 6 7 8 ];


D=[1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3];

vertical=[1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20];



